country,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chad,Africa,697,693,716,691,660,652,628,621,607,636,635,607,599,536,550,586,592,593,579,446,411,406,418,472,470,557,519,491,549,557,517,544,569,464,495,485,479,489,505,484,462,497,519,573,737,834,810,809,806,813,893,864,909,929,961,957,869,818,812,814
Chile,South America,3610,3720,3790,3940,3960,3920,4280,4360,4440,4540,4550,4900,4770,4460,4500,3860,3940,4290,4550,4860,5170,5430,4770,4470,4580,4700,4880,5110,5400,5840,5930,6290,6880,7210,7460,8000,8430,8930,9200,9050,9420,9620,9810,10100,10700,11200,11800,12300,12600,12200,12800,13500,14000,14500,14600,14700,14800,14700,15100,15100
China,Asia,192,141,132,142,164,187,202,185,173,197,229,238,241,254,254,272,263,280,307,326,347,360,387,423,480,538,577,634,694,712,729,786,887,998,1120,1220,1330,1440,1540,1640,1770,1900,2060,2250,2470,2730,3060,3480,3800,4130,4550,4960,5330,5710,6100,6500,6910,7350,7810,8250
Colombia,South America,2340,2380,2430,2440,2510,2520,2580,2610,2690,2780,2880,2980,3130,3270,3380,3390,3470,3530,3750,3860,3930,3930,3890,3860,3910,3950,4090,4220,4310,4370,4470,4470,4560,4710,4890,5060,5070,5150,5090,4800,4860,4870,4910,5030,5230,5400,5690,6000,6130,6130,6340,6710,6910,7200,7450,7580,7630,7620,7700,7840
"Congo, Dem. Rep.",Africa,1040,903,1070,1090,1040,1020,1060,1020,1030,1100,1070,1100,1070,1130,1130,1050,965,945,869,849,845,843,818,810,834,816,832,832,812,777,702,620,534,444,411,401,386,356,342,320,290,276,276,283,292,301,307,315,324,322,334,345,358,375,397,411,407,409,419,424
Cote d'Ivoire,Africa,1230,1300,1270,1400,1580,1470,1590,1600,1740,1830,1940,2030,2030,2050,2040,2110,2270,2330,2470,2420,2060,2040,1960,1800,1680,1690,1680,1610,1570,1560,1490,1440,1390,1330,1300,1350,1410,1410,1440,1420,1360,1330,1280,1230,1220,1220,1210,1200,1210,1220,1210,1130,1220,1300,1380,1460,1530,1600,1670,1740
Cuba,North America,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2400,2470,2510,2500,2700,2820,3030,3210,3220,3040,3620,3930,4130,4430,4470,4440,4290,4400,4390,4220,3740,3290,2790,2790,2850,3060,3130,3120,3300,3480,3580,3620,3750,3960,4390,4920,5290,5510,5600,5730,5890,6050,6200,6260,6520,6550,6670,6820,6820
Czech Republic,Europe,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12400,12300,12300,12700,13500,14000,14000,13900,14200,14800,15300,15600,16100,16900,18000,19200,20200,20500,19400,19800,20100,19900,19800,20300,21400,21900,22800,23300,23800
Dominican Republic,North America,1320,1250,1420,1460,1510,1280,1410,1410,1370,1480,1700,1830,1970,2160,2230,2290,2380,2440,2430,2480,2620,2670,2660,2720,2700,2590,2630,2830,2840,2910,2700,2670,2910,3070,3100,3210,3350,3590,3770,3930,4050,4090,4210,4100,4140,4470,4820,5110,5210,5190,5560,5660,5750,5960,6300,6660,7030,7270,7700,8010
Ecuador,South America,2240,2290,2330,2310,2410,2420,2340,2380,2360,2400,2490,2570,2620,2900,3140,3390,3540,3500,3610,3640,3680,3790,3720,3610,3610,3660,3700,3600,3720,3670,3720,3790,3780,3770,3840,3840,3830,3910,3950,3690,3660,3740,3830,3870,4110,4260,4370,4390,4600,4550,4630,4920,5120,5300,5410,5330,5180,5210,5180,5100
Egypt,Africa,578,592,599,644,699,715,732,719,689,708,730,743,748,758,753,803,889,947,1010,1030,1100,1150,1240,1270,1350,1400,1420,1440,1480,1510,1560,1540,1570,1590,1620,1660,1710,1760,1830,1900,1980,2010,2020,2050,2090,2150,2250,2370,2500,2570,2640,2640,2630,2630,2650,2700,2760,2820,2910,3010
Ethiopia,Africa,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,224,236,222,191,203,224,218,210,208,187,164,179,179,184,200,200,188,192,197,208,205,195,215,234,252,273,295,312,342,369,390,419,449,483,514,548,571,602
France,Europe,12700,13200,13900,14600,15300,15900,16600,17200,17900,19000,20000,20900,21600,22800,23700,23300,24200,24900,25800,26600,26900,27000,27600,27800,28000,28300,28800,29400,30600,31800,32500,32700,33000,32700,33300,33900,34300,35000,36100,37100,38300,38800,38900,39000,39800,40200,40900,41600,41500,40100,40600,41300,41300,41300,41500,41800,42100,43000,43700,44300
Germany,Europe,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,20300,21000,22000,22200,22000,23200,24100,24800,25800,26100,26200,26200,26600,27500,28200,28800,29200,30100,31100,32400,33800,34200,33700,34400,34800,35000,35500,36300,36900,37900,38500,38400,38100,38500,38800,40400,41600,42100,39800,41500,44000,44100,44100,44900,45300,46000,46900,47500,47600
Ghana,Africa,1060,1060,1070,1080,1070,1060,985,991,972,1010,1080,1100,1050,1050,1090,931,879,882,939,897,881,828,749,694,731,746,762,776,796,813,816,835,842,858,862,874,891,905,924,942,953,967,986,1010,1040,1080,1120,1140,1210,1230,1300,1450,1540,1620,1630,1630,1640,1740,1810,1880
Greece,Europe,6260,7030,7010,7820,8520,9390,9930,10400,11100,12300,13400,14400,15700,16900,15800,16600,17500,17800,18800,19200,19100,18700,18400,18000,18300,18700,18700,18300,19000,19600,19400,19700,19700,19300,19600,19900,20400,21200,21900,22500,23300,24100,25000,26300,27600,27700,29200,30100,29900,28500,26900,24500,22800,22300,22600,22600,22700,23100,23500,24000
Guatemala,North America,1490,1510,1520,1610,1640,1670,1710,1730,1830,1870,1930,1990,2080,2170,2260,2250,2360,2490,2560,2610,2650,2590,2440,2310,2260,2180,2130,2140,2170,2190,2200,2220,2260,2290,2330,2380,2400,2440,2500,2540,2570,2570,2600,2610,2640,2670,2760,2870,2910,2870,2900,2970,3000,3060,3140,3210,3240,3290,3340,3410
