country,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sri Lanka,Asia,586,586,594,595,604,605,620,644,666,701,712,706,690,724,738,769,780,805,835,873,909,946,971,1000,1040,1080,1110,1110,1120,1130,1190,1230,1270,1340,1400,1470,1510,1600,1670,1730,1830,1780,1840,1930,2020,2130,2280,2410,2540,2610,2800,3010,3290,3370,3510,3650,3770,3860,3950,4010
Sudan,Africa,876,854,889,840,808,839,786,775,767,755,776,770,709,692,747,837,946,972,884,812,797,827,847,835,768,698,715,795,772,819,755,791,821,837,823,850,876,943,957,960,993,1030,1060,1120,1130,1180,1260,1370,1440,1440,1400,1590,1750,1780,1780,1830,1870,1900,1810,1720
Sweden,Europe,18100,19000,19700,20600,21900,22500,22700,23300,24000,25100,26700,26700,27300,28300,29100,29700,29900,29400,29800,30900,31300,31400,31800,32400,33700,34400,35200,36300,37100,37800,37800,37100,36500,35500,36600,37900,38400,39600,41200,43000,44900,45500,46300,47200,49100,50300,52300,53700,53100,50300,52900,54100,53400,53600,54500,56300,56800,57500,57900,58000
Switzerland,Europe,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,51300,52600,53800,54300,50300,49900,51300,51500,52700,54900,55500,54400,54500,56000,57800,58500,59100,60600,62700,64300,63000,62200,61600,61900,61800,61800,63100,64800,65600,67800,68300,67900,67400,68800,70500,72800,75100,75800,73200,74600,75000,75000,75500,76400,76600,77000,77700,79200,79400
Tajikistan,Asia,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1320,1460,1320,1280,1170,813,669,518,447,367,368,381,390,415,448,488,532,576,603,633,669,707,719,750,787,827,868,904,936,976,1020,1070,1120
Tanzania,Africa,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,497,516,509,495,484,477,479,488,493,500,512,522,540,562,583,610,637,660,685,704,720,743,777,788,817,846,872,904,937,959,985
Thailand,Asia,571,584,609,639,662,695,750,790,830,859,929,947,960,1030,1050,1070,1140,1230,1320,1360,1400,1460,1510,1560,1620,1670,1730,1860,2070,2280,2500,2690,2870,3080,3300,3530,3690,3550,3240,3350,3460,3540,3730,3970,4190,4340,4530,4750,4800,4740,5080,5090,5440,5560,5590,5740,5920,6140,6370,6500
Togo,Africa,375,416,427,444,498,559,589,594,595,631,622,602,630,638,654,655,627,657,713,659,733,686,638,581,591,603,592,577,597,604,587,570,535,445,501,526,557,617,584,580,559,548,554,577,557,517,517,497,503,517,534,553,574,593,612,631,649,661,677,696
Tunisia,Asia,1110,1110,1110,1110,1110,1110,1130,1110,1190,1220,1250,1360,1560,1520,1600,1680,1770,1790,1860,1940,2030,2080,2010,2050,2100,2160,2080,2170,2120,2110,2220,2260,2380,2390,2420,2430,2560,2670,2760,2900,3000,3090,3100,3230,3400,3490,3640,3840,3970,4040,4140,4020,4140,4220,4300,4310,4310,4340,4410,4410
Turkey,Asia,3180,3130,3230,3440,3540,3560,3860,3950,4120,4190,4220,4350,4560,4600,4740,4970,5360,5420,5380,5230,4990,5110,5170,5310,5540,5660,5940,6380,6400,6310,6770,6710,6930,7340,6890,7320,7730,8190,8240,7840,8240,7630,8000,8330,9010,9690,10300,10600,10600,9980,10700,11700,12000,12800,13300,13900,14100,14900,15100,15000
Uganda,Africa,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,411,396,371,359,361,377,387,398,406,406,426,439,475,503,513,523,549,549,560,590,609,630,649,696,732,771,797,816,865,870,872,886,900,910,910,931,957
Ukraine,Europe,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4110,4240,3970,3620,3260,2800,2170,1920,1740,1700,1690,1700,1820,2010,2130,2350,2660,2760,2980,3230,3320,2840,2970,3140,3150,3160,3120,2830,2900,2990,3110,3220
United Arab Emirates,Asia,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,109000,94700,103000,116000,113000,99300,89700,88600,80900,65000,63400,58100,61600,68800,65500,63900,61100,61800,62700,63100,64900,61800,60300,63300,60900,59200,60400,60300,56100,53300,47300,42500,36000,33900,34600,35400,37000,38500,40200,41000,41500,41300,41400
United Kingdom,Europe,13900,14200,14200,14800,15500,15800,15900,16300,17100,17300,17900,18500,19200,20400,19900,19600,20200,20700,21600,22300,21900,21700,22100,23100,23500,24500,25200,26500,27900,28600,28700,28300,28300,29000,30000,30700,31400,32500,33600,34600,35700,36600,37300,38300,39000,40000,40800,41500,41000,39000,39400,39700,40000,40600,41400,42000,42500,43000,43300,43700
United States,North America,17600,17700,18500,19000,19800,20800,21900,22200,23100,23600,23200,23700,24600,25800,25400,25100,26200,27200,28400,28900,28600,29000,28200,29300,31100,32100,32900,33800,34900,35800,36100,35500,36300,36800,37800,38400,39400,40600,41900,43400,44700,44700,45100,46000,47300,48500,49400,49900,49300,47600,48500,48900,49600,50200,51000,52100,52600,53400,54700,55700
Uzbekistan,Asia,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1210,1220,1200,1170,1010,969,901,876,871,903,927,956,979,1010,1030,1070,1130,1200,1270,1370,1470,1560,1630,1710,1810,1920,2030,2140,2230,2290,2370,2460
Venezuela,South America,12500,12400,13000,13000,14000,14100,13800,13800,14300,14000,14600,14300,14100,14700,14600,14600,15200,15700,15700,15300,14300,13800,13200,12400,12200,11900,12400,12500,12900,11500,12000,12800,13300,13000,12500,12700,12400,12900,12700,11700,11900,12100,10800,9830,11400,12400,13400,14400,14900,14200,13800,14200,14700,14700,14000,14000,14000,14000,14000,14000
Vietnam,Asia,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,383,385,390,401,421,433,450,478,507,542,583,628,670,700,724,765,804,847,897,955,1020,1080,1150,1200,1250,1320,1390,1440,1510,1580,1670,1750,1850,1960,2080
Yemen,Asia,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,1000,1000,1000,1000,1000,1000,1000,1010,1040,1030,1050,1060,1070,1090,1120,1130,1170,1180,1190,1200,1210,1240,1250,1250,1260,1270,1330,1130,1130,1150,1120,785,694,643,633,633
Zambia,Africa,1500,1470,1390,1400,1520,1720,1570,1650,1620,1560,1580,1530,1610,1550,1590,1500,1540,1420,1380,1300,1290,1330,1250,1180,1140,1120,1090,1090,1120,1080,1040,1020,975,1020,907,910,941,951,921,938,949,973,991,1030,1080,1130,1180,1250,1310,1390,1490,1530,1590,1620,1640,1640,1650,1660,1680,1660
Zimbabwe,Africa,995,1020,1000,1030,985,999,981,1030,1010,1100,1310,1370,1440,1420,1460,1390,1350,1220,1150,1150,1270,1380,1360,1340,1260,1300,1280,1250,1310,1330,1390,1430,1270,1270,1360,1350,1470,1490,1520,1500,1450,1460,1330,1100,1030,971,932,890,726,803,948,1070,1220,1230,1230,1230,1220,1260,1310,1180
